Country or Area,Year,Unit,Value,
Angola,2016,Thousand units,26646.102,
Angola,2015,Thousand units,30211,
Angola,2014,Thousand units,31122,
Angola,2013,Thousand units,30785.1,
Angola,2012,Thousand units,29390.3,
Angola,2011,Thousand units,27995.5,
Angola,2010,Thousand units,26600.7,
Angola,2009,Thousand units,25205.9,
Angola,2008,Thousand units,23811.1,
Angola,2007,Thousand units,22416.3,
Angola,2006,Thousand units,21021.5,
Angola,2005,Thousand units,18418,
Angola,2004,Thousand units,19327,
Brazil,2015,Mil. USD,61.26964808,
Brazil,2015,Thousand units,32.776,
Brazil,2014,Mil. USD,87.12952887,
Brazil,2014,Thousand units,40.018,
Brazil,2013,Mil. USD,95.54426351,
Brazil,2013,Thousand units,45.009,
Brazil,2012,Mil. USD,89.29726535,
Brazil,2012,Thousand units,94.846,
Brazil,2011,Mil. USD,90.78688601,
Brazil,2011,Thousand units,94.783,
Brazil,2010,Mil. USD,76.17601426,
Brazil,2010,Thousand units,88.591,
Brazil,2009,Mil. USD,40.83914146,
Brazil,2009,Thousand units,63.019,
Brazil,2008,Mil. USD,83.23678294,
Brazil,2008,Thousand units,84.387,
Brazil,2007,Mil. USD,70.97317303,
Brazil,2007,Thousand units,20.293,
Brazil,2006,Mil. USD,47.61593217,
Brazil,2006,Thousand units,43.843,
Brazil,2005,Mil. USD,38.85628416,
Brazil,2005,Thousand units,28.184,
Brazil,2003,Mil. USD,8.849627229,
Brazil,2003,Thousand units,4.476,
Brazil,2002,Mil. USD,7.139366839,
Brazil,2002,Thousand units,4.073,
Brazil,2001,Mil. USD,4.168773067,
Brazil,2001,Thousand units,3.566,
China,2008,Thousand kilowatts,549770.6,
China,2007,Thousand kilowatts,566419,
China,2006,Thousand kilowatts,452674,
China,2005,Thousand kilowatts,365635,
China,2004,Thousand kilowatts,380756,
China,2003,Thousand kilowatts,318513,
China,2002,Thousand kilowatts,285058,
China,2001,Thousand kilowatts,205312,
China,2000,Thousand kilowatts,188573,
China,1999,Thousand kilowatts,178016,
China,1998,Thousand kilowatts,117932.2765,
China,1997,Thousand kilowatts,151821.1745,
China,1996,Thousand kilowatts,162933.844,
China,1995,Thousand kilowatts,116348.745,
France,2004,Mil. USD,36.9695728,
France,2003,Mil. USD,27.57907191,
France,2002,Mil. USD,54.6702827,
France,2001,Mil. USD,47.59062559,
France,2000,Mil. USD,23.38673439,
France,1999,Mil. USD,12.2814852,
Germany,2016,Mil. USD,323.2696772,
Germany,2016,Thousand units,13.237,
Germany,2015,Mil. USD,338.795326,
Germany,2015,Thousand units,13.702,
Germany,2014,Mil. USD,460.0112109,
Germany,2014,Thousand units,12.909,
